,zoneid,wealth index,crime index
562,97291-25027757100,-0.53,-0.19
563,97291-25027758102,0.51,-0.56
564,97291-25027755100,-0.2,-0.53
565,97291-25027738202,1.5,-0.86
566,97291-25027733101,-0.23,0.19
567,97291-25027739400,1.07,-0.73
568,97291-25027753200,-0.1,-0.4
569,97291-25027730801,1.05,-0.28
570,97291-25027750100,-0.04,-0.45
571,97291-25027730902,0.24,0.2
572,97291-25027735200,0.49,-0.14
573,97291-25027728200,1.24,-0.81
574,97291-25027750200,0.74,-0.66
575,26794-18039000600,0.19,-0.83
576,26794-18039002101,-0.34,-0.73
577,26794-18039002200,-0.79,0.04
578,26794-18039000302,-0.61,0.21
579,26794-18039001701,-0.57,-0.73
580,26794-18039001000,-0.09,-0.88
581,26794-26027001200,0.15,-0.41
582,26794-18039001501,-0.68,-0.4
583,26794-18039001502,-0.23,-0.74
584,26794-18039002900,-0.83,1.1
585,26794-18039000400,-0.19,-0.48
586,26794-18039001400,-0.3,-0.8
587,26794-18039002300,-1.08,0.76
588,26794-18039000200,-0.84,-0.07
589,26794-18039001802,-0.24,-0.46
590,26794-18039002102,-1.16,0.42
591,26794-18039002000,-0.47,-0.63
592,26794-18039002400,-0.86,1.82
593,26794-18039001602,-0.33,-0.59
594,26794-18039000802,0.24,-0.86
595,26794-18039000301,-0.34,-0.53
596,26794-18039001300,-0.22,-0.85
597,26794-18039001901,-0.69,-0.06
598,26794-18039001902,-0.14,-0.75
599,26794-26027001100,-0.39,-0.89
600,26794-18039000700,-0.22,-0.79
601,26794-18039001702,-0.82,0.2
602,26794-18039000501,-0.68,0.54
603,26794-18039001601,-0.69,0.21
604,26794-18039001801,-0.35,-0.48
605,26794-18039000900,-0.23,-0.88
606,26794-18039000502,-0.73,0.38
607,24823-19061000900,-0.56,0.52
608,24823-19061001205,-0.28,-0.09
609,24823-19061000400,-0.63,0.03
610,24823-19061001202,-0.66,-0.1
611,24823-19061000801,0.26,-0.36
612,24823-19061010600,0.18,-0.93
613,24823-19061001204,-0.0,-0.6
614,24823-19061001102,0.48,-0.63
615,24823-19061010103,-0.54,-0.55
616,24823-19061000802,0.18,-0.6
617,24823-17085020200,-0.19,-0.25
618,24823-55043961200,-0.21,-0.62
619,24823-19061010201,0.97,-0.84
620,24823-19061010104,0.07,-0.6
621,24823-19061000100,-0.96,0.41
622,24823-19061010101,-0.6,-0.49
623,24823-19061001101,-0.14,-0.36
624,24823-19061010105,0.48,-0.86
625,24823-19061010300,0.13,-0.86
626,24823-19061001201,-0.56,0.0
627,60841-26139022002,0.35,-0.69
628,60841-26121001700,-0.1,-0.65
629,60841-26139020503,0.72,-0.63
630,60841-26139020504,0.19,-0.59
631,60841-26121001902,-0.88,1.13
632,60841-26121004300,-1.33,1.49
633,60841-26121002300,0.03,-0.07
634,60841-26121002200,-0.57,3.26
635,60841-26121001402,-1.13,3.71
636,60841-26121002700,-0.33,0.57
637,60841-26121002601,-1.03,0.8
638,60841-26139020600,-0.02,-0.71
639,60841-26121001901,-0.33,-0.03
640,60841-26121000900,0.07,-0.42
641,60841-26121003200,-0.74,-0.51
642,60841-26121003300,-0.8,-0.57
643,60841-26121001500,0.07,-0.39
644,60841-26139021100,0.11,-0.56
645,60841-26121000300,-1.4,2.42
646,60841-26139021201,0.11,-0.58
647,60841-26121003400,-0.27,-0.64
648,60841-26139021000,-0.01,-0.37
649,60841-26121004200,-1.43,1.52
650,60841-26139020400,-0.1,-0.67
651,60841-26121000800,-0.91,1.26
