,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
20779,43912-29037060003,82.78,"$26,316",1%,"RD043, RD113, RD047, RD058, RD097",92.5%,"$21,829","$12,018","-$1,316"
20780,43912-20091053414,52.68,"$60,434",1%,"RD012, RD180, RD193, RD135, RD126",83.2%,"$23,885","$13,836","-$1,153"
20781,43912-20091052102,87.98,"$29,104",1%,"RD047, RD155, RD038, RD017, RD113",95.4%,"$24,036","$13,016","-$1,599"
20782,43912-29047021401,27.09,"$31,204",1%,"RD055, RD151, RD056, RD037, RD038",86.7%,"$23,492","$12,719","-$1,282"
20783,43912-20209044102,145.97,"$23,628",1%,"RD047, RD001, RD033, RD034, RD097",92.2%,"$18,892","$10,309","-$1,519"
20784,43912-20091053413,25.11,"$57,857",1%,"RD135, RD126, RD086, RD035, RD013",88.4%,"$19,617","$11,295","-$1,027"
20785,43912-20091053707,41.76,"$28,578",1%,"RD113, RD155, RD058, RD026, RD097",93.4%,"$21,337","$11,841","-$1,243"
20786,43912-20091053703,15.33,"$29,411",1%,"RD074, RD131, RD181, RD155, RD026",90.2%,"$23,618","$13,574","-$1,333"
20787,43912-20209044703,7.08,"$36,964",1%,"RD188, RD180, RD193, RD133, RD012",83.5%,"$20,637","$11,222","-$1,148"
20788,43912-29095013407,70.05,"$51,319",1%,"RD083, RD062, RD086, RD059, RD074",87.8%,"$21,087","$11,774","-$1,146"
20789,43912-20091053424,3.76,"$75,285",1%,"RD014, RD126, RD135, RD035, RD170",51.9%,"$16,661","$8,909","-$1,015"
20790,43912-20209044202,145.79,"$27,780",1%,"RD047, RD068, RD172, RD001, RD127",93.4%,"$17,779","$9,580","-$1,399"
20791,43912-29165030102,88.0,"$45,271",1%,"RD155, RD079, RD038, RD176, RD177",93.0%,"$22,615","$11,993","-$1,194"
20792,43912-29095014004,11.3,"$22,008",1%,"RD045, RD024, RD074, RD101, RD029",93.4%,"$20,287","$11,930","-$1,286"
20793,43912-29095013208,206.99,"$20,319",1%,"RD172, RD047, RD158, RD025, RD034",90.3%,"$18,903","$10,116","-$1,603"
20794,43912-29095013405,7.09,"$27,530",1%,"RD181, RD131, RD081, RD043, RD074",90.6%,"$23,992","$14,202","-$1,859"
20795,43912-20091053418,23.04,"$44,278",1%,"RD063, RD053, RD058, RD020, RD174",94.2%,"$19,055","$10,329",-$812
20796,43912-29037060305,5.33,"$36,677",1%,"RD063, RD058, RD174, RD062, RD113",93.4%,"$17,617","$9,180",-$748
20797,43912-20209044900,71.19,"$22,711",1%,"RD025, RD038, RD113, RD007, RD155",93.5%,"$24,619","$14,095","-$1,440"
20798,43912-20091052416,105.62,"$41,763",1%,"RD047, RD155, RD177, RD176, RD015",92.8%,"$23,503","$12,063","-$1,635"
20799,43912-20091053415,79.23,"$50,037",1%,"RD135, RD126, RD012, RD032, RD180",90.0%,"$24,907","$14,323","-$1,260"
20800,43912-20091052414,57.44,"$53,677",1%,"RD086, RD059, RD053, RD058, RD083",91.2%,"$17,491","$9,387",-$847
20801,43912-29047021101,44.46,"$27,769",1%,"RD017, RD047, RD144, RD091, RD059",92.8%,"$22,449","$12,956","-$1,190"
20802,43912-29047021204,160.32,"$27,749",1%,"RD047, RD172, RD097, RD093, RD069",93.7%,"$22,240","$12,586","-$1,458"
20803,43912-29095012903,151.61,"$25,094",1%,"RD028, RD139, RD033, RD034, RD047",90.3%,"$21,897","$12,395","-$1,940"
20804,43912-29095012600,173.18,"$22,127",1%,"RD172, RD067, RD070, RD069, RD130",93.3%,"$18,347","$9,959","-$1,220"
20805,43912-20091052419,39.8,"$36,490",1%,"RD047, RD155, RD032, RD038, RD150",91.7%,"$22,057","$11,675","-$1,203"
20806,43912-29095014601,132.66,"$28,606",1%,"RD038, RD047, RD070, RD069, RD067",91.4%,"$20,949","$11,742","-$1,233"
20807,43912-20091053417,45.49,"$41,378",1%,"RD135, RD126, RD035, RD086, RD006",92.8%,"$17,878","$9,943","-$1,199"
20808,43912-20091053510,27.58,"$41,030",1%,"RD058, RD035, RD053, RD062, RD092",91.8%,"$16,578","$8,882",-$671
20809,43912-20091052907,84.72,"$28,251",1%,"RD038, RD172, RD155, RD025, RD093",93.7%,"$23,034","$12,348","-$1,423"
20810,43912-20091053203,23.57,"$70,382",1%,"RD086, RD012, RD063, RD178, RD142",86.1%,"$22,047","$12,611",-$984
20811,43912-20091053507,66.07,"$36,837",1%,"RD058, RD026, RD001, RD059, RD113",91.7%,"$17,339","$9,540",-$954
20812,43912-29165030103,12.6,"$59,850",1%,"RD012, RD086, RD135, RD126, RD020",87.8%,"$18,983","$10,632","-$1,137"
20813,43912-29095013203,460.97,"$17,567",1%,"RD052, RD051, RD108, RD139, RD068",83.8%,"$17,956","$9,704","-$1,828"
20814,43912-20091053410,4.45,"$72,836",1%,"RD086, RD053, RD013, RD035, RD063",84.9%,"$18,315","$10,446","-$1,011"
20815,43912-29095011406,205.21,"$25,967",1%,"RD047, RD033, RD034, RD068, RD070",92.5%,"$22,368","$12,439","-$1,587"
20816,43912-20209043600,139.28,"$23,572",1%,"RD047, RD001, RD127, RD080, RD172",92.8%,"$17,243","$9,144","-$1,539"
20817,43912-29165030306,0.86,"$49,027",1%,"RD063, RD086, RD013, RD020, RD003",90.4%,"$17,715","$10,402",-$982
20818,43912-29047021102,107.38,"$28,798",1%,"RD025, RD038, RD093, RD155, RD097",94.7%,"$22,731","$12,576","-$1,451"
20819,43912-29047022301,13.71,"$31,596",1%,"RD074, RD045, RD024, RD026, RD174",94.4%,"$19,805","$10,937","-$1,035"
20820,43912-29095012906,86.39,"$20,843",1%,"RD067, RD070, RD069, RD188, RD084",90.6%,"$20,484","$11,131","-$1,242"
20821,43912-20091053505,5.28,"$43,720",1%,"RD053, RD063, RD058, RD003, RD004",92.9%,"$18,191","$9,990",-$775
20822,43912-29095014904,29.44,"$37,437",1%,"RD059, RD058, RD091, RD113, RD092",93.7%,"$16,555","$9,011",-$884
20823,43912-29095014604,176.5,"$36,882",1%,"RD172, RD052, RD158, RD067, RD070",89.9%,"$18,406","$9,859","-$1,319"
20824,43912-29047021303,6.83,"$52,950",1%,"RD053, RD174, RD004, RD003, RD020",92.5%,"$19,001","$10,216","-$1,002"
20825,43912-20091052305,35.55,"$49,291",1%,"RD092, RD059, RD053, RD058, RD091",95.0%,"$15,329","$7,796",-$760
20826,43912-20209044003,30.29,"$22,068",1%,"RD128, RD189, RD098, RD104, RD106",90.9%,"$18,870","$9,528","-$1,532"
20827,43912-29047021206,84.15,"$32,659",1%,"RD155, RD038, RD059, RD002, RD113",93.0%,"$17,127","$8,927","-$1,184"
20828,43912-29165030001,73.48,"$35,218",1%,"RD038, RD059, RD037, RD006, RD155",93.1%,"$21,269","$11,448","-$1,345"
20829,43912-20091053709,8.45,"$30,040",1%,"RD004, RD003, RD007, RD011, RD017",91.8%,"$29,707","$17,688","-$1,563"
20830,43912-20209044704,16.39,"$33,018",1%,"RD126, RD135, RD152, RD129, RD008",89.5%,"$18,029","$8,605","-$1,350"
20831,43912-29165030211,188.48,"$42,555",1%,"RD047, RD052, RD150, RD144, RD176",88.7%,"$17,179","$8,141","-$1,750"
20832,43912-29095014108,65.24,"$25,223",1%,"RD038, RD059, RD165, RD166, RD160",93.6%,"$17,094","$8,949","-$1,258"
20833,43912-29165030207,17.54,"$41,982",1%,"RD178, RD063, RD026, RD074, RD058",92.9%,"$21,064","$11,650",-$872
20834,43912-29165030208,2.88,"$56,057",1%,"RD086, RD053, RD020, RD063, RD083",92.0%,"$18,484","$10,413",-$880
20835,43912-29047021403,83.02,"$25,202",1%,"RD025, RD038, RD155, RD069, RD067",94.2%,"$19,343","$10,399","-$1,121"
20836,43912-20209044004,3.76,"$32,412",1%,"RD129, RD005, RD188, RD101, RD083",91.9%,"$15,150","$7,302","-$1,397"
20837,43912-20091052421,85.67,"$39,769",1%,"RD155, RD059, RD026, RD058, RD110",92.6%,"$20,620","$10,949","-$1,302"
20838,43912-29095011600,208.23,"$19,639",1%,"RD034, RD033, RD139, RD108, RD047",92.2%,"$13,754","$6,273","-$2,160"
20839,43912-29095012802,36.53,"$31,425",1%,"RD113, RD155, RD025, RD084, RD031",95.0%,"$19,844","$11,159","-$1,193"
20840,43912-20091053421,49.62,"$59,709",1%,"RD012, RD086, RD053, RD035, RD063",88.4%,"$20,036","$11,295",-$921
20841,43912-29165030205,50.99,"$37,561",1%,"RD155, RD178, RD079, RD183, RD182",93.2%,"$26,843","$14,888","-$1,266"
20842,43912-20091053403,47.93,"$42,122",1%,"RD035, RD155, RD135, RD126, RD059",91.1%,"$20,959","$11,771","-$1,271"
20843,43912-29095011200,143.66,"$21,423",1%,"RD047, RD084, RD067, RD069, RD070",91.2%,"$20,746","$11,366","-$1,532"
20844,43912-29095012501,166.48,"$28,337",1%,"RD172, RD070, RD069, RD067, RD068",93.2%,"$21,804","$12,307","-$1,605"
20845,43912-29095012502,144.22,"$30,830",1%,"RD047, RD069, RD070, RD067, RD059",92.9%,"$22,644","$12,525","-$1,517"
20846,43912-20209043803,53.9,"$24,507",1%,"RD070, RD069, RD067, RD030, RD172",93.0%,"$24,280","$13,278","-$1,916"
20847,43912-20209044804,7.38,"$35,250",1%,"RD063, RD057, RD113, RD133, RD174",94.6%,"$17,344","$9,151",-$916
20848,43912-29095007802,152.78,"$19,534",1%,"RD051, RD161, RD157, RD130, RD067",89.0%,"$18,786","$8,897","-$1,890"
20849,43912-20091053423,25.24,"$66,013",1%,"RD086, RD035, RD013, RD135, RD126",84.0%,"$18,275","$10,525",-$948
20850,43912-20091053406,7.37,"$44,891",1%,"RD063, RD058, RD053, RD035, RD086",92.3%,"$18,700","$10,350",-$824
20851,43912-29095989200,58.82,$nan,1%,"RD032, RD150, RD093, RD047, RD028",86.3%,"$22,791","$12,311","-$1,563"
20852,43912-20091052604,4.86,"$46,636",1%,"RD063, RD053, RD057, RD174, RD137",91.5%,"$16,809","$8,106",-$775
20853,43912-20209043904,130.49,"$14,086",1%,"RD157, RD130, RD139, RD025, RD066",92.7%,"$12,105","$5,106","-$1,558"
20854,43912-20091053009,32.81,"$58,071",1%,"RD086, RD063, RD053, RD035, RD058",88.8%,"$20,037","$11,183","-$1,018"
20855,43912-29095011000,251.36,"$19,251",1%,"RD051, RD067, RD070, RD069, RD157",90.3%,"$16,707","$8,587","-$1,637"
20856,43912-29095014804,5.93,"$49,230",1%,"RD053, RD020, RD063, RD005, RD174",95.1%,"$19,543","$11,034","-$1,092"
20857,43912-29047022000,4.21,"$30,070",1%,"RD113, RD029, RD045, RD024, RD149",94.7%,"$22,501","$12,953",-$919
20858,43912-29095014101,25.2,"$25,169",1%,"RD077, RD031, RD182, RD183, RD047",93.2%,"$25,840","$15,359","-$1,591"
20859,43912-20091053110,45.81,"$46,535",1%,"RD135, RD126, RD035, RD086, RD059",90.9%,"$14,504","$7,548",-$875
20860,43912-29037060004,56.71,"$26,749",1%,"RD101, RD127, RD041, RD064, RD155",94.5%,"$19,869","$10,760","-$1,274"
20861,43912-29095014105,14.52,"$31,669",1%,"RD058, RD026, RD149, RD155, RD074",93.4%,"$18,970","$10,558",-$792
20862,43912-20091052303,43.44,"$33,389",1%,"RD155, RD182, RD183, RD113, RD038",95.0%,"$25,374","$14,556","-$1,288"
20863,43912-29047021305,40.55,"$35,665",1%,"RD058, RD062, RD113, RD063, RD149",94.9%,"$19,605","$11,071",-$710
20864,43912-29095012300,119.5,"$35,751",1%,"RD047, RD059, RD113, RD155, RD166",93.9%,"$19,582","$10,297","-$1,468"
20865,43912-20091052601,3.69,"$59,011",1%,"RD053, RD063, RD046, RD057, RD174",90.1%,"$26,026","$15,243",-$890
20866,43912-20091053602,3.6,"$32,062",1%,"RD005, RD024, RD045, RD178, RD155",94.8%,"$23,680","$13,378","-$1,266"
20867,43912-20091052908,100.9,"$31,143",1%,"RD047, RD144, RD177, RD176, RD172",92.1%,"$23,303","$12,882","-$1,640"
20868,43912-29095013408,98.73,"$33,824",1%,"RD025, RD155, RD113, RD031, RD043",93.1%,"$22,285","$11,388","-$1,574"
20869,43912-29047021310,20.49,"$38,962",1%,"RD022, RD134, RD135, RD126, RD087",33.5%,"$19,170","$10,728","-$1,181"
20870,43912-29095014905,6.68,"$36,397",1%,"RD170, RD147, RD035, RD014, RD037",89.1%,"$20,513","$12,252","-$1,081"
20871,43912-20209044103,97.4,"$29,707",1%,"RD047, RD001, RD113, RD025, RD176",92.9%,"$19,055","$10,107","-$1,438"
20872,43912-29095008900,240.95,"$30,354",1%,"RD052, RD172, RD068, RD158, RD047",86.6%,"$18,821","$10,179","-$1,349"
20873,43912-29095011401,73.59,"$27,268",1%,"RD034, RD033, RD113, RD047, RD017",92.6%,"$22,455","$12,246","-$1,717"
20874,43912-29095012803,109.55,"$29,474",1%,"RD067, RD070, RD069, RD068, RD172",92.8%,"$19,862","$11,077","-$1,166"
20875,43912-20091053711,31.48,"$39,265",1%,"RD046, RD063, RD053, RD010, RD049",92.2%,"$19,820","$11,034","-$1,035"
20876,43912-20091053422,20.92,"$69,576",1%,"RD086, RD012, RD053, RD063, RD020",89.6%,"$18,275","$10,525",-$948
20877,43912-29095014501,49.48,"$32,994",1%,"RD155, RD047, RD059, RD025, RD101",94.7%,"$19,644","$10,833","-$1,190"
20878,43912-29165030307,82.58,$nan,1%,"RD005, RD113, RD182, RD183, RD106",87.5%,"$21,112","$11,337","-$1,233"
20879,43912-29095017400,63.15,"$19,660",1%,"RD130, RD144, RD131, RD172, RD162",91.3%,"$17,919","$9,064","-$1,399"
20880,43912-29095014111,4.76,"$38,585",1%,"RD004, RD003, RD045, RD024, RD063",92.9%,"$22,465","$13,120","-$1,010"
20881,43912-20209044702,15.04,"$26,286",1%,"RD049, RD064, RD074, RD101, RD075",93.8%,"$19,541","$11,206","-$1,229"
20882,43912-20091053011,15.95,"$50,516",1%,"RD053, RD008, RD086, RD020, RD063",92.0%,"$20,009","$10,656","-$1,105"
20883,43912-29047021306,66.03,"$35,425",1%,"RD113, RD058, RD047, RD017, RD091",94.0%,"$22,543","$12,066","-$1,308"
20884,43912-29095015100,3.0,"$25,896",1%,"RD113, RD029, RD031, RD017, RD186",94.5%,"$26,063","$15,589","-$1,109"
20885,43912-29037060001,10.12,"$42,697",1%,"RD020, RD063, RD035, RD086, RD178",78.8%,"$20,371","$11,431","-$1,101"
20886,43912-20209044303,166.45,"$18,796",1%,"RD172, RD068, RD025, RD067, RD069",92.8%,"$19,556","$11,238","-$1,218"
20887,43912-29047021208,119.14,"$28,107",1%,"RD038, RD172, RD093, RD155, RD130",92.5%,"$20,615","$11,420","-$1,093"
20888,43912-29047021103,84.15,"$32,659",1%,"RD155, RD038, RD059, RD002, RD113",93.1%,"$18,509","$9,171","-$1,328"
20889,43912-29047020801,3.53,"$29,861",1%,"RD113, RD001, RD031, RD106, RD104",94.7%,"$18,871","$10,810","-$1,320"
20890,43912-29095014005,7.58,"$27,163",1%,"RD017, RD101, RD155, RD011, RD001",93.8%,"$19,651","$10,786","-$1,221"
20891,43912-20091052202,66.0,"$33,628",1%,"RD113, RD110, RD059, RD155, RD001",93.6%,"$17,525","$9,590","-$1,116"
20892,43912-29047020602,106.0,"$21,729",1%,"RD130, RD157, RD139, RD172, RD025",91.8%,"$16,854","$8,373","-$1,749"
20893,43912-29095014701,47.85,"$35,191",1%,"RD144, RD183, RD182, RD181, RD054",91.4%,"$21,092","$11,254","-$1,057"
20894,43912-29047021803,3.73,"$41,787",1%,"RD053, RD004, RD003, RD062, RD174",90.8%,"$18,411","$9,896",-$897
20895,43912-20091052504,17.27,"$52,344",1%,"RD012, RD178, RD180, RD193, RD050",90.4%,"$20,000","$10,665",-$961
20896,43912-20091052415,65.34,"$42,722",1%,"RD155, RD025, RD047, RD038, RD113",92.1%,"$20,622","$10,855","-$1,245"
20897,43912-29037061300,16.33,"$26,618",1%,"RD101, RD025, RD077, RD041, RD155",93.6%,"$22,499","$12,336","-$1,622"
20898,43912-29047021207,49.15,"$33,531",1%,"RD045, RD024, RD181, RD113, RD017",92.9%,"$23,383","$12,998","-$1,356"
20899,43912-20209041300,270.57,"$13,691",1%,"RD052, RD139, RD088, RD172, RD156",89.6%,"$17,281","$9,018","-$2,238"
20900,43912-29165030209,23.96,"$34,850",1%,"RD026, RD058, RD155, RD091, RD113",93.6%,"$18,627","$9,784",-$932
20901,43912-20209044400,165.32,"$18,926",1%,"RD124, RD066, RD034, RD033, RD172",91.1%,"$15,725","$7,614","-$2,153"
20902,43912-29095014007,18.03,"$27,876",1%,"RD074, RD155, RD041, RD045, RD024",93.6%,"$22,237","$12,671","-$1,165"
20903,43912-29095013309,144.08,"$24,144",1%,"RD067, RD070, RD069, RD079, RD038",91.6%,"$20,371","$11,504","-$1,153"
20904,43912-29095013003,196.91,"$24,385",1%,"RD033, RD034, RD047, RD172, RD139",91.3%,"$18,555","$9,392","-$2,063"
20905,43912-20091053010,36.26,"$55,553",1%,"RD086, RD135, RD126, RD035, RD012",86.1%,"$22,744","$13,082","-$1,163"
20906,43912-20091052417,86.55,"$30,078",1%,"RD047, RD176, RD177, RD144, RD150",91.9%,"$22,704","$12,261","-$1,486"
20907,43912-29037060301,26.57,"$40,294",1%,"RD063, RD062, RD178, RD074, RD174",94.6%,"$20,229","$11,183",-$859
20908,43912-29047022302,5.86,"$36,330",1%,"RD113, RD058, RD174, RD062, RD169",95.6%,"$19,014","$10,347",-$694
20909,43912-29165030305,4.71,"$44,290",1%,"RD062, RD058, RD174, RD169, RD113",94.1%,"$19,455","$10,556",-$719
20910,43912-29095011500,238.78,"$17,986",1%,"RD139, RD051, RD108, RD052, RD070",90.1%,"$16,936","$8,959","-$1,617"
20911,43912-29095019300,1.2,"$37,705",1%,"RD062, RD058, RD074, RD026, RD092",93.3%,"$19,909","$11,038",-$895
20912,43912-29095014702,49.87,"$33,757",1%,"RD113, RD059, RD155, RD110, RD154",94.5%,"$17,824","$10,001","-$1,094"
20913,43912-29095010105,83.44,"$40,020",1%,"RD142, RD043, RD079, RD155, RD047",91.8%,"$23,532","$13,278","-$1,182"
20914,43912-29095011100,44.56,"$21,534",1%,"RD025, RD154, RD146, RD172, RD064",94.1%,"$18,393","$10,000","-$1,129"
20915,43912-29047022200,4.4,"$31,048",1%,"RD188, RD017, RD129, RD103, RD030",91.0%,"$17,884","$9,088","-$1,536"
20916,43912-29165030308,5.64,"$38,010",1%,"RD027, RD044, RD071, RD178, RD057",90.5%,"$18,292","$10,078","-$1,439"
20917,43912-29095014114,35.19,"$32,456",1%,"RD026, RD058, RD150, RD113, RD074",94.3%,"$22,030","$12,090","-$1,087"
20918,43912-20091052904,52.5,"$34,198",1%,"RD113, RD155, RD038, RD058, RD091",92.8%,"$18,994","$9,756","-$1,076"
20919,43912-20091052910,14.11,"$42,360",1%,"RD169, RD014, RD053, RD174, RD147",85.8%,"$17,988","$9,930","-$1,059"
20920,43912-20091053508,46.73,"$35,347",1%,"RD058, RD059, RD091, RD001, RD092",93.7%,"$16,025","$8,561",-$844
20921,43912-29047020902,64.36,"$30,693",1%,"RD001, RD113, RD017, RD036, RD106",93.7%,"$17,673","$9,915","-$1,019"
20922,43912-29047021404,57.53,"$38,530",1%,"RD038, RD155, RD079, RD059, RD015",94.2%,"$22,091","$12,024","-$1,260"
20923,43912-29095014806,23.23,"$40,120",1%,"RD058, RD113, RD063, RD149, RD169",94.5%,"$21,534","$12,429","-$1,110"
20924,43912-29095013416,36.6,"$31,649",1%,"RD074, RD101, RD174, RD062, RD059",92.5%,"$18,092","$9,691","-$1,362"
20925,43912-29095017200,60.86,"$24,675",1%,"RD172, RD098, RD025, RD077, RD130",94.3%,"$19,190","$10,454","-$1,413"
20926,43912-29047021205,27.64,"$39,356",1%,"RD063, RD178, RD058, RD113, RD057",94.4%,"$18,916","$10,371",-$757
20927,43912-29047021307,53.24,"$37,021",1%,"RD181, RD169, RD178, RD044, RD027",91.7%,"$22,930","$12,837","-$1,463"
20928,43912-20091052801,2.31,"$50,672",1%,"RD135, RD126, RD086, RD013, RD020",88.8%,"$18,470","$10,750","-$1,004"
20929,43912-20091052603,16.9,"$44,867",1%,"RD053, RD063, RD058, RD174, RD020",94.1%,"$20,113","$11,119",-$914
20930,43912-20091052502,2.46,"$59,083",1%,"RD053, RD063, RD086, RD174, RD020",92.5%,"$18,976","$10,286",-$788
20931,24985-,0.13,"$23,519",-0%,"RD148, RD024, RD045, RD188, RD175",91.7%,"$20,323","$11,298",-$996
20932,55090-19127951000,6.28,"$27,588",-1%,"RD104, RD106, RD155, RD025, RD113",93.9%,"$20,990","$11,587","-$1,140"
20933,55090-19127950800,5.12,"$31,994",-1%,"RD006, RD005, RD038, RD015, RD016",92.3%,"$25,267","$13,075","-$1,630"
20934,55090-19127950600,121.07,"$22,477",-1%,"RD093, RD158, RD069, RD067, RD070",92.6%,"$18,847","$10,176","-$1,502"
20935,55090-19127950700,8.48,"$24,410",-1%,"RD069, RD070, RD067, RD038, RD001",91.8%,"$17,035","$9,224",-$982
20936,55090-19127950100,0.13,"$33,223",-1%,"RD005, RD002, RD175, RD020, RD129",94.0%,"$19,350","$10,691","-$1,216"
20937,55090-19127950900,6.28,"$27,588",-1%,"RD106, RD104, RD025, RD113, RD155",94.2%,"$15,170","$8,165",-$959
20938,55090-19127950500,71.39,"$16,802",-1%,"RD103, RD077, RD088, RD070, RD069",92.0%,"$18,356","$9,957","-$1,470"
20939,58654-,0.04,"$20,774",-1%,"RD186, RD163, RD113, RD132, RD061",93.1%,"$17,968","$9,922","-$1,174"
20940,88651-,14.11,"$22,864",2%,"RD101, RD127, RD085, RD077, RD113",93.0%,"$14,650","$7,924","-$1,134"
20941,59518-53025011200,0.1,"$31,730",3%,"RD049, RD048, RD148, RD174, RD147",92.5%,"$22,331","$12,380","-$1,399"
20942,59518-53025010800,5.88,"$16,380",3%,"RD131, RD182, RD183, RD077, RD031",92.0%,"$24,820","$14,267","-$2,100"
20943,59518-53025011000,5.75,"$29,464",3%,"RD148, RD062, RD045, RD024, RD046",92.1%,"$24,509","$13,151","-$1,236"
20944,59518-53025011100,120.67,"$27,134",3%,"RD047, RD172, RD077, RD131, RD155",92.8%,"$20,308","$11,507","-$1,485"
20945,59518-53025010901,3.34,"$23,962",3%,"RD133, RD188, RD148, RD005, RD189",89.8%,"$25,133","$14,229","-$1,534"
20946,59518-53025010902,31.19,"$25,275",3%,"RD155, RD031, RD064, RD100, RD102",92.9%,"$22,293","$12,621","-$1,695"
20947,81442-,4.44,"$29,203",-1%,"RD087, RD155, RD032, RD185, RD129",83.5%,"$20,677","$10,810","-$1,357"
20948,72208-21071920300,0.36,"$17,900",-0%,"RD064, RD129, RD146, RD154, RD132",90.8%,"$20,011","$10,903","-$1,200"
20949,72208-21071920800,0.02,"$24,874",-0%,"RD064, RD129, RD098, RD164, RD167",91.9%,"$18,169","$9,041","-$1,345"
20950,72208-21071921000,0.17,"$18,792",-0%,"RD132, RD106, RD104, RD190, RD064",93.5%,"$13,189","$6,825",-$997
20951,72208-21115960600,0.23,"$22,022",-0%,"RD064, RD163, RD049, RD061, RD190",92.2%,"$23,658","$13,635","-$1,103"
20952,72208-21071920900,0.07,"$19,545",-0%,"RD187, RD064, RD132, RD140, RD049",92.5%,"$17,148","$8,373","-$1,458"
20953,72208-21071920100,1.16,"$26,036",-0%,"RD065, RD064, RD187, RD049, RD106",92.0%,"$15,965","$8,401","-$1,238"
20954,72208-21071920200,0.03,"$21,823",-0%,"RD167, RD187, RD049, RD132, RD189",92.1%,"$14,857","$7,421","-$1,269"
20955,73477-36001014302,5.35,"$49,190",-0%,"RD020, RD005, RD092, RD008, RD053",93.8%,"$20,633","$11,377","-$1,169"
20956,73477-36001014301,5.55,"$42,516",-0%,"RD092, RD174, RD175, RD076, RD017",93.0%,"$20,980","$11,490",-$944
20957,73477-36039080100,0.63,"$32,518",-1%,"RD118, RD198, RD046, RD167, RD083",89.4%,"$23,410","$13,421","-$1,225"
20958,73477-36001014401,0.8,"$35,788",-0%,"RD174, RD187, RD076, RD024, RD045",92.9%,"$21,066","$12,153","-$1,040"
20959,73477-36001014402,39.39,"$29,176",-0%,"RD155, RD038, RD017, RD025, RD069",93.3%,"$22,158","$11,849","-$1,332"
20960,05572-,0.05,"$33,983",-0%,"RD186, RD175, RD005, RD113, RD149",94.3%,"$26,239","$14,809","-$1,049"
20961,13402-,0.86,"$33,808",4%,"RD030, RD113, RD155, RD101, RD076",92.8%,"$18,646","$10,000","-$1,195"
20962,85303-26149040800,27.12,"$22,175",-0%,"RD069, RD070, RD067, RD038, RD130",95.7%,"$18,616","$10,103","-$1,079"
20963,85303-26149040700,13.23,"$21,506",-0%,"RD101, RD077, RD155, RD025, RD064",93.4%,"$19,305","$10,756","-$1,338"
20964,85303-26149041600,0.09,"$26,247",-0%,"RD049, RD167, RD129, RD064, RD113",92.0%,"$20,671","$11,478","-$1,127"
20965,85303-26149040500,15.66,"$24,471",-0%,"RD001, RD113, RD091, RD025, RD146",94.4%,"$18,301","$10,210",-$975
20966,85303-26149041500,0.52,"$25,676",-0%,"RD129, RD167, RD189, RD049, RD010",91.5%,"$19,138","$10,335","-$1,195"
20967,85303-26149040600,24.26,"$17,366",-0%,"RD130, RD025, RD144, RD067, RD069",92.6%,"$18,773","$10,448","-$1,147"
20968,55765-,3.79,"$20,144",-0%,"RD101, RD188, RD154, RD146, RD129",94.5%,"$19,448","$10,970","-$1,145"
20969,53632-,0.56,"$18,518",-1%,"RD132, RD077, RD065, RD104, RD106",93.2%,"$15,232","$7,791","-$1,021"
20970,37891-,1.38,"$19,594",1%,"RD085, RD131, RD163, RD049, RD187",93.8%,"$13,719","$7,016","-$1,216"
20971,59680-05005950100,8.81,"$20,520",-1%,"RD104, RD106, RD188, RD113, RD025",93.5%,"$14,943","$7,913","-$1,129"
20972,59680-05005950300,13.2,"$23,303",-1%,"RD104, RD106, RD113, RD064, RD075",93.9%,"$18,211","$9,881","-$1,248"
20973,59680-05005950200,10.38,"$42,624",-1%,"RD036, RD017, RD092, RD127, RD091",92.1%,"$18,393","$10,348","-$1,164"
20974,59680-05005950700,0.86,"$27,724",-1%,"RD198, RD118, RD096, RD060, RD129",78.2%,"$25,402","$14,849","-$1,702"
20975,59680-05005950400,6.52,"$28,436",-1%,"RD188, RD155, RD179, RD101, RD104",92.9%,"$17,574","$9,906","-$1,040"
20976,59680-05005950800,0.07,"$26,888",-1%,"RD049, RD118, RD129, RD064, RD167",87.8%,"$20,708","$12,064","-$1,219"
20977,29602-12089050301,1.32,"$30,960",3%,"RD184, RD137, RD049, RD063, RD178",92.2%,"$18,908","$10,832",-$973
20978,29602-12089050303,3.42,"$40,332",3%,"RD063, RD010, RD178, RD074, RD137",88.9%,"$27,867","$16,989","-$1,149"
20979,29602-12089050102,10.82,"$43,942",3%,"RD118, RD198, RD096, RD010, RD039",81.1%,"$27,885","$16,406","-$1,280"
20980,29602-12089050201,2.45,"$126,085",3%,"RD198, RD118, RD096, RD046, RD086",11.2%,"$25,443","$14,994","-$1,110"
20981,29602-12089050203,3.66,"$55,787",3%,"RD198, RD118, RD096, RD010, RD039",64.6%,"$25,089","$14,949","-$1,210"
20982,29602-12089050202,8.56,"$47,244",3%,"RD118, RD010, RD096, RD046, RD039",81.9%,"$29,483","$17,701","-$1,439"
20983,29602-12089050101,15.77,"$36,434",3%,"RD010, RD041, RD155, RD031, RD074",91.8%,"$25,095","$14,876","-$1,393"
20984,25498-,14.79,"$18,276",1%,"RD030, RD019, RD103, RD017, RD127",90.8%,"$27,180","$16,221","-$1,688"
